DictWordID,PojUnicode,PojInput,KipUnicode,KipInput,HanLoTaibunPoj,PageNumber,PojNormalized,KipNormalized
1051,Soaⁿ-ti-bah,Soann-ti-bah,Suann-ti-bah,Suann-ti-bah,山猪肉,278,Soa-ti-bah,Suann-ti-bah
1052,Soaⁿ-ti-koaⁿ,Soann-ti-koann,Suann-ti-kuann,Suann-ti-kuann,山猪肝,278,Soa-ti-koa,Suann-ti-kuann
1053,Pit-lô-chí,Pit-lo5-chi2,Pit-lô-tsí,Pit-lo5-tsi2,筆羅子,278,Pit-lo-chi,Pit-lo-tsi
1054,Ka-choa̍h-si̍t,Ka-choah8-sit8,Ka-tsua̍h-si̍t,Ka-tsuah8-sit8,蟉？翼,278,Ka-choah-sit,Ka-tsuah-sit
1055,Le̍k-chiuⁿ,Lek8-chiunn,Li̍k-tsiunn,Lik8-tsiunn,綠樟,278,Lek-chiu,Lik-tsiunn
1056,Chńg-kah-hoe,Chng2-kah-hoe,Tsńg-kah-hue,Tsng2-kah-hue,指甲花,279,Chng-kah-hoe,Tsng-kah-hue
1057,O͘-chhì-á,Oo-chhi3-a2,Oo-tshì-á,Oo-tshi3-a2,烏刺仔,279,O-chhi-a,Oo-tshi-a
1058,O͘-ba̍k-á,Oo-bak8-a2,Oo-ba̍k-á,Oo-bak8-a2,黑目仔,280,O-bak-a,Oo-bak-a
1059,Tháng-kau-tîn,Thang2-kau-tin5,Tháng-kau-tîn,Thang2-kau-tin5,桶鈎藤,280,Thang-kau-tin,Thang-kau-tin
1060,Gû-chang-chhì,Gu5-chang-chhi3,Gû-tsang-tshì,Gu5-tsang-tshi3,牛鬃刺,280,Gu-chang-chhi,Gu-tsang-tshi
1061,Chhì-mng,Chhi3-mng,Tshì-mng,Tshi3-mng,刺？,280,Chhi-mng,Tshi-mng
1062,Chó-á,Cho2-a2,Tsó-á,Tso2-a2,棗仔,280,Cho-a,Tso-a
1063,Âng-chó,Ang5-cho2,Âng-tsó,Ang5-tso2,紅棗,281,Ang-cho,Ang-tso
1064,Tōa-chó,Toa7-cho2,Tuā-tsó,Tua7-tso2,大棗,281,Toa-cho,Tua-tso
1065,Tōa-phû-tô,Toa7-phu5-to5,Tuā-phû-tô,Tua7-phu5-to5,大葡萄,281,Toa-phu-to,Tua-phu-to
1066,Tōa-pún-soaⁿ-phû-tô,Toa7-pun2-soann-phu5-to5,Tuā-pún-suann-phû-tô,Tua7-pun2-suann-phu5-to5,大本山葡萄,281,Toa-pun-soa-phu-to,Tua-pun-suann-phu-to
1067,Soaⁿ-phû-tô,Soann-phu5-to5,Suann-phû-tô,Suann-phu5-to5,山葡萄,281,Soa-phu-to,Suann-phu-to
1068,Pùn-kam-tîn,Pun3-kam-tin5,Pùn-kam-tîn,Pun3-kam-tin5,糞？藤,281,Pun-kam-tin,Pun-kam-tin
1069,Léng-pn̄g-tîn,Leng2-png7-tin5,Líng-pn̄g-tîn,Ling2-png7-tin5,冷飯藤,281,Leng-pn̄g-tin,Ling-pn̄g-tin
1070,Hī-khang-á-tîn,Hi7-khang-a2-tin5,Hī-khang-á-tîn,Hi7-khang-a2-tin5,耳空仔藤,281,Hi-khang-a-tin,Hi-khang-a-tin
1071,Ngó͘-jiáu-lêng,Ngoo2-jiau2-leng5,Ngóo-jiáu-lîng,Ngoo2-jiau2-ling5,五爪龍,281,Ngo-jiau-leng,Ngoo-jiau-ling
