Id,Afrikaans,AfrikaansIPA,English
1060,"afstap","/ˈɐfstˌɐp/","descend, get off, go down"
1061,"afsteek","/ˈɐfstˌiək/","1. cut off❄2. contrast"
1062,"afstel","/ˈɐfstˌæl/","fail, neglect, omit"
1063,"afstem","/ˈɐfstˌɛm/","1. reject❄2. tune"
1064,"afstempel","/ˈɐfstˌɛmpəl/","mark, stamp"
1065,"afsterf","/ˈɐfstˌærf/","die away, fail"
1066,"afsterwe","/ˈɐfstˌærvə/","die away, fail"
1067,"afstewen","/ˈɐfstˌiəvən/","bear down, make"
1068,"afstof","/ˈɐfstˌɔf/","dust"
1069,"afstomp","/ˈɐfstˌɔmp/","1. dull❄2. become dull❄3. blunt"
1070,"afstootlik","/ɐfstˈʊətlək/","repellent, repelling, repulsive"
1071,"afstroop","/ˈɐfstrˌʊəp/","1. harry, ravage❄2. flay, skin, strip"
1072,"afstudeer","/ˈɐfstydˌiər/","finish one's studies"
1073,"afstuit","/ˈɐfstˌøyt/","rebound"
1074,"afstyg","/ˈɐfstˌɛɪx/","dismount"
1075,"afsweer","/ˈɐfswˌiər/","1. abjure, abnegate❄2. forswear, swear off, renounce"
1076,"afswering","/ˈɐfswˌiərəŋ/","1. abjuration❄2. renunciation"
1077,"afsydig","/ɐfsˈɛɪdəx/","apart, particular, separate, special"
1078,"afsê","/ˈɐfsˌeː/","1. cancel, countermand❄2. abjure, abolish, abrogate, annul, remit"
1079,"aftak","/ˈɐftˌɐk/","branch"
1080,"aftakking","/ˈɐftˌɐkəŋ/","branching"
1081,"aftandig","/ˈɐftˌɐndəx/","decayed, decrepit, dilapidated, lapsed, rickety"
1082,"aftands","/ˈɐftˌɐnts/","decayed, decrepit, dilapidated, lapsed, rickety"
1083,"aftap","/ˈɐftˌɐp/","1. derive❄2. drain❄3. bottle"
1084,"aftapkraan","/ˈɐftˌɐpkrɑːn/","drain‐cock"
1085,"afteken","/ˈɐftˌiəkən/","design, draw"
1086,"aftel","/ˈɐftˌæl/","count down"
1087,"aftelefoneer","/ˈɐftæləfunˌiər/","cancel by telephone, countermand by telephone"
1088,"aftog","/ˈɐftˌɔx/","retreat"
1089,"aftreding","/ˈɐftrˌiədəŋ/","resignation"
1090,"aftree","/ˈɐftrˌiə/","1. resign❄2. quit❄3. retire"
1091,"aftrek","/ˈɐftrˌæk/","1. demand, sale❄2. pick, pluck, tear off❄3. absent onself, depart, go away, leave❄4. discount, rebate❄5. retreat❄6. subtract"
1092,"aftrekbaar","/ˈɐftrˌækbɑːr/","deductible"
1093,"aftrekgetal","/ˈɐftrˌækxətˌɐl/","subtrahend"
1094,"aftrekker","/ˈɐftrˌækər/","subtrahend"
1095,"aftrekking","/ˈɐftrˌækəŋ/","subtraction"
1096,"aftreksel","/ˈɐftrˌæksəl/","extract, infusion"
1097,"aftreksom","/ˈɐftrˌæksɔm/","subtraction sum"
1098,"aftroef","/ˈɐftrˌuf/","trump"
1099,"afvaardig","/ˈɐffˌɑːrdəx/","depute"
1100,"afvaart","/ˈɐffˌɑːrt/","departure"
1101,"afval","/ˈɐffˌɐl/","1. apostatize❄2. clippings, cuttings, parings, refuse, rubbish, waste, windfall❄3. drop out❄4. drop, fall❄5. desert, secede❄6. apostasy, defection❄7. fall away, lose, lose flesh, lose in weight❄8. remainder, rest❄9. debris, rubble"
1102,"afvallig","/ɐfˈɐləx/","1. apostate❄2. unfaithful"
1103,"afvallige","/ɐfˈɐləxə/","1. apostate❄2. deserter, renegade❄3. renegate"
1104,"afvalproduk","/ˈɐffˌɐlprudˌœk/","waste product"
1105,"afvalwater","/ˈɐffˌɐlvɑːtər/","effluent"
1106,"afvee","/ˈɐffˌiə/","delete, wipe, wipe off"
1107,"afveeg","/ˈɐffˌiəx/","delete, wipe, wipe off"
1108,"afvloei","/ˈɐfflˌuɪ/","flow down, flow off"
1109,"afvoer","/ˈɐffˌuːr/","1. divert❄2. carrying off, discharge"
1110,"afvoerbuis","/ˈɐffˌuːrbøys/","drain‐pipe, outlet‐pipe, waste‐pipe"
1111,"afvoerder","/ˈɐffˌuːrdər/","abductor"
1112,"afvuur","/ˈɐffˌyr/","discharge, fire, fire off"
1113,"afwaarts","/ˈɐfvˌɑːrts/","1. down❄2. underneath"
1114,"afwag","/ˈɐfvˌɐx/","bide, abide, stay for, wait, await, wait for"
1115,"afwagting","/ˈɐfvˌɐxtəŋ/","expectation"
1116,"afwater","/ˈɐfvˌɑːtər/","drain"
1117,"afwatering","/ˈɐfvˌɑːtərəŋ/","draining"
1118,"afweer","/ˈɐfvˌiər/","1. defend❄2. defence, defense"
1119,"afwen","/ˈɐfvˌɛn/","1. break of a habit, teach❄2. break oneself of a habit, get out of a habit, unlearn"
1120,"afwend","/ˈɐfvˌɛnt/","turn away"
1121,"afwentel","/ˈɐfvˌɛntəl/","roll off"
1122,"afwerk","/ˈɐfvˌærk/","finish, work out"
1123,"afwerking","/ˈɐfvˌærkəŋ/","finishing off"
1124,"afwerp","/ˈɐfvˌærp/","1. cast off, fling off, throw off❄2. cast, shed❄3. get rid of❄4. afford, bear, produce"
1125,"afwesig","/ɐfvˈiəsəx/","absent"
1126,"afwesige","/ɐfvˈiəsəxə/","absentee"
1127,"afwesigheid","/ɐfvˈiəsəxhˌɛɪt/","absence, non‐attendance"
1128,"afwesig","/ɐfvˈiəsəx/","1. be absent, be missing❄2. be lacking"
1129,"afwikkel","/ˈɐfvˌəkəl/","1. conclude, dispatch, expedite, finnish, settle❄2. liquidate❄3. unroll, unwind, wind off"
1130,"afwikkeling","/ˈɐfvˌəkələŋ/","unrolling, unwinding"
1131,"afwimpel","/ˈɐfvˌəmpəl/","reject"
1132,"afwis","/ˈɐfvˌəs/","delete, wipe, wipe off"
1133,"afwyk","/ˈɐfvˌɛɪk/","1. deviate❄2. turn❄3. deflect, diverge, wander"
1134,"afwyking","/ˈɐfvˌɛɪkəŋ/","1. abnormity, anomaly❄2. deflection, deviation❄3. aberrance, aberration❄4. abnormality"
1135,"afwys","/ˈɐfvˌɛɪs/","1. reject❄2. abort, quash, wreck❄3. refuse"
1136,"afwysing","/ˈɐfvˌɛɪsəŋ/","1. rejection❄2. refusal"
1137,"ag","/ˈɐx/","1. acuity, advertence, advertency, attention❄2. ah, oh, ow❄3. esteem, think well of❄4. account, accredit, believe, deem❄5. eight❄6. opine, think❄7. woe"
1138,"agaat","/ɐxˈɑːt/","agate"
1139,"agarm","/ˈɑːxɐrəm/","octopus"
1140,"agbaar","/ˈɐxbɑːr/","respectable"
1141,"ageer","/ɐxˈiər/","act, take action"
1142,"agenda","/ɐxˈɛndɐ/","agenda, appointment book"
1143,"agent","/ɐxˈɛnt/","1. agent❄2. policeman"
1144,"agentskap","/ɐxˈɛntskɐp/","agency"
1145,"agentuur","/ɐxˈɛntyr/","agency"
1146,"agglomeraat","/ˈɐxlʊəmˌiərɑːt/","agglomerate"
1147,"aggregaat","/ˈɐxræxˌɑːt/","aggregate"
1148,"aggressie","/ɐxrˈɛsi/","aggression, aggro"
1149,"aggressief","/ˌɐxrɛsˈif/","aggressive"
1150,"aghoek","/ˈɐxhuk/","octagon"
1151,"agio","/ɐxˈiʊə/","premium"
1152,"agitasie","/ɐxitˈɑːsi/","agitation, commotion"
1153,"agitator","/ɐxitˈɑːtɔr/","agitator"
1154,"agiteer","/ɐxitˈiər/","abet, agitate, incite, stir up"
1155,"agiteerder","/ɐxitˈiərdər/","agitator"
1156,"agnosties","/ɐxnˈɔstis/","agnostic"
1157,"agnostikus","/ˌɐxnɔstikˈœs/","agnostic"
1158,"agorafobie","/ˈɑːxʊərˌɑːfʊəbˌi/","agoraphobia"
1159,"agrariër","/ɐxrˈɑːriəiər/","agrarian, farmer"
1160,"agronomie","/ˌɐxrunumˈi/","agriculture, agronomics"
1161,"agronomies","/ˌɐxrunˈʊəmis/","agricultural"
1162,"agronoom","/ˌɐxrunˈʊəm/","agriculturist"
1163,"agste","/ˈɐxstə/","1. eighth❄2. eighth part"
1164,"agtal","/ˈɐxtɐl/","number of eight"
1165,"agtallig","/ˈɐxtɐləx/","octal"
1166,"agtarm","/ˈɐxtɐrəm/","octopus"
1167,"agteloos","/ˈɐxtəlˌʊəs/","careless, negligent"
1168,"agteloosheid","/ˈɐxtəlˌʊəshɛɪt/","carelessness, negligence"
1169,"agtelosig","/ɐxtəlˈʊəsəx/","careless, negligent"
1170,"agtelosigheid","/ɐxtəlˈʊəsəxˌɛɪt/","carelessness, negligence"
1171,"agtenswaard","/ˈɐxtənsvˌɑːrt/","respectable"
1172,"agtenswaardig","/ˌɐxtənsvˈɑːrdəx/","respectable"
1173,"agter","/ˈɐxtər/","behind, after"
1174,"agteraan","/ˈɐxtərˌɑːn/","at the back, behind, in the rear"
1175,"agteras","/ˈɐxtərˌɐs/","back axle, hind axle, rear axle"
1176,"agterbalkon","/ˈɐxtərbɐlkˌɔn/","rear platform"
1177,"agterbank","/ˈɐxtərbˌɐŋk/","back seat, rear seat"
1178,"agterbly","/ˈɐxtərblˌɛɪ/","be kept in, be detained, remain, stay on"
1179,"agterblyer","/ˈɐxtərblˌɛɪər/","laggard, straggler"
1180,"agterboeg","/ˈɐxtərbˌux/","poop, poopdeck, stern"
1181,"agterbuurt","/ˈɐxtərbˌyrt/","back street, slum"
1182,"agterdeel","/ˈɐxtərdˌiəl/","back, rear"
1183,"agterdeur","/ˈɐxtərdˌøər/","back‐door"
1184,"agterdog","/ˈɐxtərdˌɔx/","suspicion"
1185,"agterdogtig","/ɐxtərdˈɔxtəx/","suspicious"
1186,"agtereen","/ˈɐxtərˌiən/","1. at a strech, for ... together, on end❄2. consecutively"
1187,"agtereenvolgens","/ɐxtəriənfˈɔlxəns/","consecutively"
1188,"agterent","/ˈɐxtərˌɛnt/","1. back part, hind part❄2. back, rear❄3. backside, rump❄4. behind, bottom, buttocks"
1189,"agtergedeelte","/ˈɐxtərxədˌiəltə/","back, rear"
1190,"agtergrond","/ˈɐxtərxrˌɔːnt/","1. background❄2. bottom, foundation, ground"
1191,"agterhoede","/ˈɐxtərhˌudə/","1. rear, rearguard❄2. defence"
1192,"agterhoof","/ˈɐxtərhˌʊəf/","back of the head, occiput"
1193,"agterhou","/ˈɐxtərhˌəʊ/","hold back, keep back, withhold"
1194,"agterin","/ˈɐxtərˌən/","behind"
1195,"agterkant","/ˈɐxtərkˌɐnt/","back, rear"
1196,"agterklap","/ˈɐxtərklˌɐp/","backbiting, scandal, slander"
1197,"agterkleindogter","/ˈɐxtərklˌɛɪndɔxtər/","greatgranddaughter"
1198,"agterkleinkind","/ˈɐxtərklˌɛɪŋkənt/","greatgrandchild"
1199,"agterkleinseun","/ˈɐxtərklˌɛɪnsøən/","greatgrandson"
1200,"agterlaag","/ˈɐxtərlˌɑːx/","ambush"
1201,"agterlaat","/ˈɐxtərlˌɑːt/","leave behind"
1202,"agterlamp","/ˈɐxtərlˌɐmp/","rear‐lamp, rear‐light, tail‐light"
1203,"agterland","/ˈɐxtərlˌɐnt/","hinterland"
1204,"agterlig","/ˈɐxtərləx/","rear‐lamp, rear‐light, tail‐light"
1205,"agterlik","/ˈɐxtərlək/","backward, mentally deficient, retarded"
1206,"agterlikheid","/ˈɐxtərləkhˌɛɪt/","backwardness"
1207,"agterloop","/ˈɐxtərlˌʊəp/","be late"
1208,"agterlosig","/ɐxtərlˈʊəsəx/","careless, negligent"
1209,"agtermiddag","/ɐxtərmˈədɐx/","afternoon"
1210,"agternaam","/ˌɐxtərnˈɑːɐm/","surname"
1211,"agternadoen","/ˌɐxtərnˈɑːdun/","imitate"
1212,"agternadraai","/ˌɐxtərnˈɑːdrɑɪ/","consequence, consistency"
1213,"agternagaan","/ˌɐxtərnˈɑːxɑːn/","run after"
1214,"agterneef","/ˈɐxtərnˌiəf/","1. second cousin❄2. grand‐nephew"
1215,"agternig","/ˈɐxtərnəx/","1. second cousin❄2. grand‐niece"
1216,"agterniggie","/ˈɐxtərnˌəxi/","1. second cousin❄2. grand‐niece"
1217,"agteroor","/ɐxtərˈʊər/","1. backward, on one's back❄2. backwards"
1218,"agteroorval","/ɐxtərˈʊərfɐl/","fall backwards"
1219,"agterraam","/ˈɐxtərˌɑːm/","rear window"
1220,"agterskip","/ˈɐxtərskˌəp/","poop, poopdeck, stern"
1221,"agterstallig","/ɐxtərstˈɐləx/","back, outstanding, overdue"
1222,"agterstand","/ˈɐxtərstˌɐnt/","arrears"
1223,"agterste","/ˈɐxtərstə/","1. last❄2. hind, hindmost❄3. backside, rump"
1224,"agtersten","/ˈɐxtərstən/","poop, poopdeck, stern"
1225,"agterstevoor","/ˌɐxtərstəfˈʊər/","1. back to front❄2. vice‐versa"
1226,"agterstewe","/ˈɐxtərstˌiəvə/","poop, poopdeck, stern"
1227,"agteruit","/ɐxtərʔˈøyt/","backward, backwards"
1228,"agteruitboer","/ɐxtərʔˈøytbuːr/","decline, recede"
1229,"agteruitgaan","/ɐxtərʔˈøytxɑːn/","1. decline, recede❄2. go back, go backwards"
1230,"agteruitgang","/ɐxtərʔˈøytxɐŋ/","1. rear‐exit❄2. abatement❄3. decline, going down"
1231,"agteruitkykspieël","/ɐxtərʔˈøytkɛɪkspˌiːəl/","driving mirror"
1232,"agtervoegsel","/ˈɐxtərfˌuxsəl/","affix"
1233,"agtervolg","/ɐxtərfˈɔlx/","chase, persecute, prosecute, pursue"
1234,"agterwaarts","/ˈɐxtərvˌɑːrts/","backward, backwards"
1235,"agterweë","/ˌɐxtərvˈiə/","fail to appear"
1236,"agterweë","/ˌɐxtərvˈiə/","1. fail, neglect, omit❄2. leave out, overlook"
1237,"agterwiel","/ˈɐxtərvˌil/","back wheel, hind wheel, rear wheel"
1238,"agterwyk","/ˈɐxtərvˌɛɪk/","back street, slum"
1239,"agter","/ˈɐxtər/","be late"
1240,"agthoek","/ˈɐxthuk/","octagon"
1241,"agtien","/ˈɐxtin/","eighteen"
1242,"agtiende","/ˈɐxtində/","eighteenth"
1243,"agting","/ˈɐxtəŋ/","1. esteem, regard❄2. respect"
1244,"agtste","/ˈɐxtstə/","eighth, eighth part"
1245,"agttal","/ˈɐxtɐl/","number of eight"
1246,"agttallig","/ˈɐxtɐləx/","octal"
1247,"agtvoudig","/ˈɐxtfəʊdˌəx/","eightfold, octuple"
1248,"agurk","/ˈɑːxœrk/","gherkin"
1249,"agurkie","/ɐxˈœrki/","gherkin"
1250,"agvoudig","/ˈɐxfəʊdˌəx/","eightfold, octuple"
1251,"ag","/ˈɐx/","advert, pay attention, pay attention to, watch out for"
1252,"ahorn","/ˈɑːhɔrən/","maple, sycamore"
1253,"ai","/ˈaɪ/","1. ouch, ow❄2. ai, sloth❄3. three‐toed sloth"
1254,"aikôna","/ˈaɪkɔːnˌɐ/","not at all"
1255,"air","/ˈaɪr/","appearance, aspect, look, sight, view"
1256,"akademie","/ɐkədˈiəmi/","academy"
1257,"akademielid","/ɐkədˈiəmilˌət/","academician"
1258,"akant","/ˈɑːkɐnt/","acanthus"
1259,"akasia","/ɐkˈɑːsiɐ/","acacia"
1260,"akelei","/ˈɑːkiəlˌɛɪ/","columbine"
1261,"akka","/ˈɐkɐ/","dung, excrement"
1262,"akkedis","/ɐkədˈəs/","lizard"
1263,"akkeldis","/ˈɐkəldˌəs/","lizard"
1264,"akker","/ˈɐkər/","1. field❄2. acorn❄3. oak"
1265,"akkerboom","/ˈɐkərbˌʊəm/","oak"
1266,"akkerbou","/ˈɐkərbˌəʊ/","agriculture, farming, tillage"
1267,"akkerdis","/ˈɐkərdˌəs/","lizard"
1268,"akkermonie","/ˈɐkərmˌʊəni/","agrimony"
1269,"akkerwinde","/ˈɐkərvˌəndə/","1. lesser bindweed❄2. bindweed"
1270,"akklamasie","/ˌɐklɑːmˈɑːsi/","acclaim, acclamation, approval"
1271,"akklimatisasie","/ˈɐklimɐtˌisɑːsi/","acclimatization"
1272,"akklimatiseer","/ˌɐklimɐtisˈiər/","1. acclimatize❄2. acclimate"
1273,"akklimatisering","/ˌɐklimɐtisˈiərəŋ/","acclimatization"
1274,"akkommodasie","/ɐkɔmədˈɑːsi/","accommodation"
1275,"akkomodasie","/ˌɐkʊəmʊədˈɑːsi/","accoutrement, accoutrements, equipment"
1276,"akkompanjeer","/ˌɐkɔmpɐnjˈiər/","accompany"
1277,"akkompanjement","/ˌɐkɔmpˌɐnjiəmˈɛnt/","1. accompaniment❄2. escort"
1278,"akkompanjis","/ˈɐkɔmpˌɐnjəs/","accompanist, companian"
1279,"akkoord","/ɐkˈʊərt/","1. accord, accordance, agreement, concurrence❄2. chord❄3. accommodation, adjustment, arrangement"
1280,"akkordeon","/ˈɐkɔrdˌiəɔn/","accordion"
1281,"akkrediteer","/ˌɐkrɛditˈiər/","accredit"
1282,"akkumulasie","/ˌɐkymylˈɑːsi/","accumulation"
1283,"akkumulator","/ˌɐkymylˈɑːtɔr/","accumulator, battery, storage battery"
1284,"akkumuleer","/ˌɐkymylˈiər/","accumulate, heap, pile up, stack"
1285,"akkuraat","/ɐkyrˈɑːt/","1. accurate, on time, prompt, punctual❄2. exact❄3. precise"
1286,"akkuraatheid","/ɐkyrˈɑːthɛɪt/","accuracy, exactitude, precision"
1287,"akkusatief","/ˌɐkysɐtˈif/","accusative"
1288,"akne","/ˈɐknə/","acne"
1289,"akoestiek","/ɐkustˈik/","acoustics"
1290,"akoesties","/ɐkˈustis/","acoustic"
1291,"akoliet","/ɐkulˈit/","acolyte"
1292,"akoniet","/ɐkunˈit/","aconite, monkshood"
1293,"akrobaat","/ɐkrubˈɑːt/","acrobat"
1294,"akrobaties","/ɐkrubˈɑːtis/","acrobatic"
1295,"akroniem","/ˈɐkrʊənˌim/","acronym"
1296,"akselerasie","/ˌɐksəliərˈɑːsi/","acceleration"
1297,"akselerator","/ˌɐksəliərˈɑːtɔr/","accelerator, accelerator pedal"
1298,"aksent","/ɐksˈɛnt/","1. accent, stress❄2. accent mark, supersign"
1299,"aksenteken","/ˈɐksɛntˌiəkən/","accent mark, supersign"
1300,"aksentueer","/ˌɐksɛntyˈiər/","accent, accentuate, stress"
1301,"akseptabel","/ˈɐksɛptɐbˌæl/","acceptable"
1302,"akseptant","/ˈɐksɛptˌɐnt/","acceptor"
1303,"aksepteer","/ˌɐksɛptˈiər/","accept, receive, take, take in"
1304,"aksidenteel","/ˈɐksidˌɛntəəl/","accidental"
1305,"aksie","/ˈɐksi/","1. action, activity❄2. achievement, act"
1306,"aksioma","/ˈɐkʃiˌʊəmɐ/","axiom"
1307,"aksionaris","/ˌɐkʃiʊənˈɑːrəs/","shareholder"
1308,"aksioom","/ˈɐkʃiˌʊəm/","axiom"
1309,"aksyns","/ɐksˈɛɪns/","excise, excise‐duty"
1310,"akteur","/ɐktˈøər/","actor"
1311,"aktief","/ɐktˈif/","active, in action"
1312,"aktinie","/ˈɐktinˌi/","sea‐anemone"
1313,"aktinium","/ˈɐktinˌiœm/","actinium"
1314,"aktiveer","/ˌɐktifˈiər/","activate, put on, start, swotch on, turn on"
1315,"aktivis","/ˌɐktifˈəs/","activist, agitator"
1316,"aktiwiteit","/ˌɐktivitˈɛɪt/","activity, vigour"
1317,"aktrise","/ɐktrˈisə/","actress"
1318,"aktualiteit","/ˌɐktyɐlitˈɛɪt/","topicality"
1319,"aktuaris","/ˌɐktyˈɑːrəs/","actuary"
1320,"aktueel","/ˌɐktyˈiəl/","current, present, present‐day, topical, up‐to‐date"
1321,"akwadukt","/ˈɐkwɑːdˌœkt/","aqueduct"
1322,"akwamaryn","/ɐkwɐmɐrˈɛɪn/","aquamarine"
1323,"akwarel","/ɐkwɐrˈæl/","water‐colour"
1324,"akwarium","/ɐkwˈɑːriˌœm/","aquarium"
1325,"al","/ˈɐl/","already, by now, yet"
1326,"alarm","/ɐlˈɐrəm/","alarm"
1327,"alarmeer","/ɐlɐrmˈiər/","alarm, raise the alarm, sound the alarm"
1328,"albas","/ˈɐlbɐs/","alabaster"
1329,"albatros","/ˈɐlbɐtrˌɔs/","albatross"
1330,"albe","/ˈɐlbə/","alb"
1331,"albei","/ˈɐlbɛɪ/","both"
1332,"albino","/ɐlbˈinu/","albino"
1333,"album","/ˈɐlbœm/","album"
1334,"alchemie","/ɐlxiəmˈi/","alchemy"
1335,"alchemis","/ɐlxiəmˈəs/","alchemist"
1336,"aldaar","/ˈɐldɑːr/","at that place, there"
1337,"aldehide","/ˈɐldəhˌidə/","aldehyde"
1338,"aldehied","/ˈɐldəhˌit/","aldehyde"
1339,"aldeur","/ˈɐldøər/","1. constantly, continually, continuously❄2. all the time, ceaselessly"
1340,"aleenverteenwoordiger","/ɐlˈiənfərtiənvˌʊərdəxər/","sole agent"
1341,"alfa","/ˈɐlfɑː/","alpha"
1342,"alfabet","/ˈɐlfɐbˌɛt/","alphabet"
1343,"alfabeties","/ɐlfɐbˈiətis/","alphabetical"
1344,"alg","/ˈɐlx/","alga, seaweed"
1345,"alge","/ˈɐlxə/","alga, seaweed"
1346,"algebra","/ˈɐlxəbrɐ/","algebra"
1347,"algebraïes","/ˈɐlxəbrˌɑːis/","algebraic"
1348,"algemeen","/ˈɐlxəmˌiən/","general, usual"
1349,"algemeenheid","/ˈɐlxəmˌiənhɛɪt/","generality, universality"
1350,"alhaas","/ˈɐlhɑːs/","1. soon❄2. almost, nearly"
1351,"alhoewel","/ˌɐlhuvˈæl/","though, although"
1352,"alibi","/ɐlˈibi/","alibi"
1353,"alimentasie","/ɐlˌimɛntˈɑːsi/","alimony"
1354,"alinea","/ɐlˈiniəˌɑː/","paragraph"
1355,"aljare","/ˈɐljɑːrə/","yearly"
1356,"alkohol","/ˈɐlkuɔl/","alcohol"
1357,"alkoholgehalte","/ˈɐlkuɔlxəhˌɐltə/","alcoholic content"
1358,"alkoholies","/ɐlkuhˈʊəlis/","alcoholic"
1359,"alkoholis","/ˌɐlkuɔlˈəs/","alcoholic"
1360,"alkoholisme","/ˌɐlkuɔlˈəsmə/","alcoholism"
1361,"alkoholvry","/ˈɐlkuɔlfrˌɛɪ/","non‐alcoholic"
1362,"alle","/ˈɐlə/","all"
1363,"alledaags","/ˈɐlədˌɑːxs/","1. commonplace, dismal, trite❄2. daily"
1364,"allee","/ˈɐliə/","avenue"
1365,"alleen","/ɐlˈiən/","1. exclusively, just, only❄2. alone, sole, solitary"
1366,"alleenhandel","/ɐlˈiənhɐndəl/","monopoly"
1367,"alleenheerser","/ɐlˈiənhiərsər/","absolute ruler, autocrat"
1368,"alleenheerskapy","/ɐlˈiənhiərskɐpˌɛɪ/","absolute power, absolute rule, autocracy"
1369,"alleenspraak","/ɐlˈiənsprɑːk/","monologue, soliloquy"
1370,"alleenverkoop","/ɐlˈiənfərkˌʊəp/","monopoly"
1371,"allegaartjie","/ˈɐləxˌɑːrci/","1. hotchpotch, medly❄2. admixture, mixture"
1372,"allegorie","/ˈɐləxˌʊəri/","allegory"
1373,"allegories","/ˈɐləxˌʊəris/","allegoric"
1374,"allengs","/ˈɐlɛŋs/","gradually, little by little"
1375,"allengskens","/ˈɐləŋskəns/","gradually, little by little"
1376,"allenig","/ɐlˈiənəx/","alone, only, sole, solitary"
1377,"aller","/ˈɐlər/","everyone's"
1378,"alleraardigst","/ˈɐlərˌɑːrdəxst/","most charming"
1379,"allerbekoorliks","/ˈɐlərbəkˌʊərləks/","most charming"
1380,"allergie","/ɐlərxˈi/","allergy"
1381,"allergies","/ɐlˈærxis/","allergic"
1382,"allerhande","/ˈɐlərhˌɐndə/","1. all, every kind of❄2. all sorts, all sorts of, miscellaneous, of all sorts"
1383,"allerlei","/ˈɐlərlˌɛɪ/","1. all, every kind of❄2. all sorts, all sorts of, miscellaneous, of all sorts"
1384,"allerweë","/ˈɐlərvˌiə/","all about, everywhere"
1385,"alles","/ˈɐləs/","1. all, altogether, everything❄2. all of it"
1386,"allesbehalwe","/ˈɐləsbəhˌɐlvə/","not at all"
1387,"allesbeheersend","/ˈɐləsbəhˌiərsənt/","of paramount importance, predominating"
1388,"allesins","/ˈɐləsˌəns/","1. in every way❄2. in all respects, in every respect"
1389,"alliansie","/ˈɐliˌɐnsi/","alliance"
1390,"alliasie","/ˈɐliˌɑːsi/","alloy"
1391,"allig","/ˈɐləx/","maybe, mayhap, perchance, perhaps, possibly"
1392,"alligator","/ˌɐləxˈɑːtɔr/","alligator"
1393,"alliterasie","/ˌɐlətərˈɑːsi/","alliteration"
1394,"allo","/ˈɐlu/","hello"
1395,"allooi","/ɐlˈʊɪ/","alloy"
1396,"allure","/ɐlˈyrə/","airs"
1397,"alluviaal","/ɐlˌyfiˈɑːl/","alluvial"
1398,"alluvie","/ɐlˈyfi/","alluvion, alluvium"
1399,"alluvio","/ɐlˈyfiˌʊə/","alluvion, alluvium"
1400,"alluvium","/ɐlˈyfiˌœm/","alluvion, alluvium"
1401,"almag","/ˈɐlmɐx/","omnipotence"
1402,"almal","/ˈɐlmɐl/","everyone's"
1403,"almanak","/ɐlmɐnˈɐk/","almanac"
1404,"almeteens","/ˌɐlmɛtˈiəns/","at once, immediately, just, right away, right now"
1405,"alom","/ɐlˈɔm/","all about, everywhere"
1406,"alomteenwoordig","/ˈɐlʔɔmtiənvˌʊərdəx/","omnipresent, ubiquitous"
1407,"alomvattend","/ˈɐlʔɔmfˌɐtənt/","general, universal, worldwide"
1408,"alpakka","/ˈɐlpɐkˌɐ/","alpaca"
1409,"alpbok","/ˈɐlpbɔk/","ibex"
1410,"alperoos","/ˈɐlpiərˌʊəs/","Alpenrose, rhododendron"
1411,"alpeviooltjie","/ˈɐlpəfiˌʊəlci/","cyclamen"
1412,"alpinis","/ˌɐlpinˈəs/","Alpinist, climber, mountain climber, mountaineer"
1413,"alras","/ˈɐlrɐs/","soon"
1414,"alreeds","/ɐlrˈiəts/","already, by now, yet"
1415,"alsem","/ˈɐlsəm/","absinth"
1416,"also","/ˈɐlsʊə/","so, such, thus"
1417,"alt","/ˈɐlt/","1. contralto, contralto voice❄2. alto"
1418,"altaar","/ˈɐltɑːr/","altar"
1419,"altaardienaar","/ˈɐltɑːrdˌinɑːr/","acolyte"
1420,"altaarstuk","/ˈɐltɑːrstˌœk/","altarpiece"
1421,"altans","/ˈɐltɐns/","at least"
1422,"alteenwoordig","/ˈɐltiənvˌʊərdəx/","omnipresent, ubiquitous"
1423,"altemit","/ˌɐltəmˈət/","maybe, mayhap, perchance, perhaps, possibly"
1424,"altemits","/ˌɐltəmˈəts/","maybe, mayhap, perchance, perhaps, possibly"
1425,"altemitters","/ˈɐltəmˌətərs/","maybe, mayhap, perchance, perhaps, possibly"
1426,"alternatief","/ˌɐltərnɐtˈif/","alternative, option"
1427,"altoos","/ˈɐltʊəs/","always, ever"
1428,"altruïs","/ˈɐltryˌəs/","altruist"
1429,"altruïsme","/ˌɐltryˈəsmə/","altruism"
1430,"altruïsties","/ˌɐltryˈəstis/","altruistic"
1431,"altsanger","/ˈɐltsɐŋər/","alto, contralto"
1432,"altstem","/ˈɐltstɛm/","1. contralto, contralto voice❄2. alto"
1433,"altviool","/ˈɐltfiˌʊəl/","tenor violin, viola"
1434,"altwee","/ˈɐltwiə/","both"
1435,"altyd","/ˈɐltɛɪt/","always, ever"
1436,"altyddurend","/ˈɐltɛɪdˌyrənt/","everlasting"
1437,"aluin","/ɐlˈøyn/","alum"
1438,"aluminium","/ɐlumˈiniˌœm/","aluminium, aluminum"
1439,"alvermoë","/ˈɐlfərmˌuːə/","omnipotence"
1440,"alvleesklier","/ˈɐlfliəsklˌiːr/","pancreas"
1441,"alvorens","/ɐlfˈʊərəns/","before, previous to"
1442,"alwaar","/ˈɐlvɑːr/","where"
1443,"alwas","/ˈɐlvɐs/","even if"
1444,"alweer","/ɐlvˈiər/","1. afresh, again, all over again, anew❄2. once more"
