id,poj_unicode,poj_input,kip_unicode,kip_input,abbreviations,noun_classifiers,reduplication,hoabun,english,synonym,cf,page_number,poj_normalized
1,a-a-háu/a-a-kiò/a-a-khàu,a-a-hau2/a-a-kio3/a-a-khau3,a-a-háu/a-a-kiò/a-a-khàu,a-a-hau2/a-a-kio3/a-a-khau3,Vph,,,啞啞叫,cry (like a baby),,,1,a-a-hau/a-a-kio/a-a-khau
2,a-bí-pa,a-bi2-pa,a-bí-pa,a-bi2-pa,N/Med,,,阿米巴,ameba,,,1,a-bi-pa
3,a-bú/a-bó,a-bu2/a-bo2,a-bú/a-bó,a-bu2/a-bo2,Na,ê,,媽媽,"mother, mama",,,1,a-bu/a-bo
4,a-cha,a-cha,a-tsa,a-tsa,,,a-a cha-cha/a-cha a-cha,髒,"dirty, soiled",a-cham/â-sâm/lâ-sâm/là-sap,,1,a-cha
5,a-cham,a-cham,a-tsam,a-tsam,,,a-cham a-cham,髒,"dirty, soiled",a-cha,,1,a-cham
6,a-ché,a-che2,a-tsé,a-tse2,Na,ê,,阿姊,sister (elder),,,1,a-che
7,a-chek,a-chek,a-tsik,a-tsik,Na,ê,,叔叔,uncle (father's younger brother),,,1,a-chek
8,a-chek,a-chek,a-tsik,a-tsik,Na,ê,,爸爸,father (used to avoid making the spirits jealous),,,1,a-chek
9,a-chí,a-chi2,a-tsí,a-tsi2,Na,ê,,阿姊,sister (elder),,,1,a-chi
10,a-chím,a-chim2,a-tsím,a-tsim2,Na,ê,,嬸母,aunt (father's younger brother's wife),,,1,a-chim
11,A-chiu,A-chiu,A-tsiu,A-tsiu,Np,,,亞洲,Asia,,,1,A-chiu
12,a-chó͘,a-choo2,a-tsóo,a-tsoo2,Na,ê,,曾祖父母,great-grandparent (father's side),,,1,a-cho
13,a-hê,a-he5,a-hê,a-he5,N,bé/chiah,,亞蝦,"shrimp, Trachypenaeus asper",,,1,a-he
14,a-hiaⁿ,a-hiann,a-hiann,a-hiann,Na,ê,,哥哥,brother (elder),,,1,a-hia
15,a-î,a-i5,a-î,a-i5,Na,ê,,阿姨,aunt(mother's sister),,,1,a-i
16,a-î,a-i5,a-î,a-i5,Na,ê,,媽媽,mother (used to avoid making the spirits jealous),,,1,a-i
17,A-jia̍t-tài,A-jiat8-tai3,A-jia̍t-tài,A-jiat8-tai3,Np,,,亞熱帶,sub-tropical zone,,Jia̍t-tài/Un-tài/Hân-tài,1,A-jiat-tai
18,a-kè-kau,a-ke3-kau,a-kè-kau,a-ke3-kau,N/Ich,bé,,ㄚ髻鮫,"any shark of the genus Sphyrne, hammerhead shark",,,1,a-ke-kau
19,a-kīm,a-kim7,a-kīm,a-kim7,Na,ê,,舅母,aunt (mother's brother's wife),,,1,a-kim
20,a-ko,a-ko,a-ko,a-ko,Na,ê,,哥哥,brother (elder),,,1,a-ko
21,a-ko͘,a-koo,a-koo,a-koo,Na,ê,,姑母,aunt (father's sister),,,1,a-ko
22,a-kong,a-kong,a-kong,a-kong,Na,ê,,祖父,grandfather,,,1,a-kong
23,a-kū,a-ku7,a-kū,a-ku7,Na,ê,,舅父,uncle (mother's brother),,,1,a-ku
24,a-kū,a-ku7,a-kū,a-ku7,Na,ê,,,brother-in-law (wife's brother),,,1,a-ku
25,a-khēng,a-kheng7,a-khīng,a-khing7,N,châng,,椏柏,"tallow tree, Sapium sebiferum",,,1,a-kheng
26,A-lá,A-la2,A-lá,A-la2,Npers,,,阿賴,"Muslim: Allah, God",,,1,A-la
27,A-lân,A-lan5,A-lân,A-lan5,Np,,,亞蘭,"Aram, Syria",,,1,A-lan
28,A-lat-pek,A-lat-pek,A-lat-pik,A-lat-pik,Np,,,阿拉伯,Arabic,,,1,A-lat-pek
29,A-lí-san,A-li2-san,A-lí-san,A-li2-san,Np,,,阿里山,"Mt. Ali, Alishan",,,1,A-li-san
30,A-lí-san bô-hio̍h-lân,A-li2-san bo5-hioh8-lan5,A-lí-san bô-hio̍h-lân,A-li2-san bo5-hioh8-lan5,N/Bot,châng,,阿里山無葉蘭,"Alishan leafless orchid, Cheirostylis takeoi",,,1,A-li-san bo-hioh-lan
31,a-lí-san-eng,a-li2-san-eng,a-lí-san-ing,a-li2-san-ing,N,chiah,,高砂鶯,"Formosan bullfinch, Pyrrhula erythaca owstoni",,,1,a-li-san-eng
32,a-lí-san-jiû,a-li2-san-jiu5,a-lí-san-jiû,a-li2-san-jiu5,N/Bot,châng,,阿里山榆,"Ali-shan elm, Ulmus ayematsui",,,1,a-li-san-jiu
33,a-lí-san-kû,a-li2-san-ku5,a-lí-san-kû,a-li2-san-ku5,N/Orn,chiah,,阿里山鴝,"Johnstone's bush robin, Tarsiger johnstoniae",,,1,a-li-san-ku
34,a-lí-san-liú,a-li2-san-liu2,a-lí-san-liú,a-li2-san-liu2,N/Bot,châng,,阿里山柳,"Alishanwillow, mountain willow, Salix fulvopubescens",,,1,a-li-san-liu
35,a-lí-san-thian-gô-jiông-chiam-chhú,a-li2-san-thian-go5-jiong5-chiam-chhu2,a-lí-san-thian-gô-jiông-tsiam-tshú,a-li2-san-thian-go5-jiong5-tsiam-tshu2,N/Zool,chiah,,阿里山天鵝绒尖鼠,"Alishan shrew, chodsigoa sodalis",,,1,a-li-san-thian-go-jiong-chiam-chhu
36,A-lí-sū-to͘-tek,A-li2-su7-too-tek,A-lí-sū-too-tik,A-li2-su7-too-tik,Npers,,,亞里斯多德,Aristotle,,,1,A-li-su-to-tek
37,A-lī-lū-ia,A-li7-lu7-ia,A-lī-lū-ia,A-li7-lu7-ia,I/Xtn,,,阿利路亞,Alleluia!,,,1,A-li-lu-ia
38,A-lio̍k-phài,A-liok8-phai3,A-lio̍k-phài,A-liok8-phai3,N/Xtn,,,亞流派,Arianism,,,1,A-liok-phai
39,a-ḿ,a-m2,a-ḿ,a-m2,Na,ê,,伯母,aunt (father's elder brother's wife),,,1,a-m
40,a-ḿ,a-m2,a-ḿ,a-m2,Na,ê,,伯母,"auntie (polite for friend's mother, etc)",,,1,a-m
41,a-má,a-ma2,a-má,a-ma2,Na,ê,,祖母,grandmother,,,1,a-ma
42,A-má-sùn,A-ma2-sun3,A-má-sùn,A-ma2-sun3,Np,,,亞馬孫,Amazon,,,1,A-ma-sun
43,A-men,A-men,A-men,A-men,Xtn,,,阿們,End-of prayer marker: Amen,,,1,A-men
44,a-mi-pah,a-mi-pah,a-mi-pah,a-mi-pah,N,,,阿米巴,Ameba,,,1,a-mi-pah
45,A-mí-cho̍k,A-mi2-chok8,A-mí-tso̍k,A-mi2-tsok8,N,,,阿美族,Amis tribe (Taiwan aborigines),,,1,A-mi-chok
46,a-mí-nó-sng,a-mi2-no2-sng,a-mí-nó-sng,a-mi2-no2-sng,N,,,氨基酸,amino-acid,,,1,a-mi-no-sng
47,a-mô͘-ni-a,a-moo5-ni-a,a-môo-ni-a,a-moo5-ni-a,N,,,阿摩尼亞,ammonia,,,1,a-mo-ni-a
48,A-mô͘-su,A-moo5-su,A-môo-su,A-moo5-su,Npers/RC,,,亞毛斯,Amos,,A-mô-sū,1,A-mo-su
49,A-mô͘-su,A-moo5-su,A-môo-su,A-moo5-su,Npers/Prot,,,亞摩斯,Amoz,,,1,A-mo-su
50,A-mô͘-sū,A-moo5-su7,A-môo-sū,A-moo5-su7,Npers/Prot,,,阿摩司,Amos,,A-mô-su,1,A-mo-su
51,a-môa,a-moa5,a-muâ,a-mua5,N,châng,,亞麻,"flax, Linum uisitatissimum",,,1,a-moa
52,a-pa,a-pa,a-pa,a-pa,Na,ê,,爸爸,"father, daddy",,,1,a-pa
53,A-pak-tí-a,A-pak-ti2-a,A-pak-tí-a,A-pak-ti2-a,Npers/RC,,,亞北底亞,"Abdias, Obadiah",,O-pa-tí,1,A-pak-ti-a
54,a-pē,a-pe7,a-pē,a-pe7,Na,ê,,爸爸,"father, daddy",,,1,a-pe
55,a-peh,a-peh,a-peh,a-peh,Na,ê,,伯父,uncle (father's elder brother),,,1,a-peh
56,a-peh-a,a-peh-a,a-peh-a,a-peh-a,N,,,老先生,old gentleman,,,1,a-peh-a
57,a-peh-a,a-peh-a,a-peh-a,a-peh-a,Ra,,,老先生,Sir (old gentleman),,,1,a-peh-a
58,A-pek-la̍h-hán,A-pek-lah8-han2,A-pik-la̍h-hán,A-pik-lah8-han2,Npers/Bib,,,亞伯拉罕,Abraham,,,1,A-pek-lah-han
59,A-pek-lân,A-pek-lan5,A-pik-lân,A-pik-lan5,Npers/Bib,,,亞伯蘭,Abram,,,1,A-pek-lan
60,a-peng-ko,a-peng-ko,a-ping-ko,a-ping-ko,N,ê,,阿兵哥,"soldier, Chinese G. I.",,,1,a-peng-ko
61,a-pô,a-po5,a-pô,a-po5,N,ê,,阿婆,elderly lady,,,1,a-po
62,a-pô,a-po5,a-pô,a-po5,Ra,ê,,阿婆,"Madam, Ma'am",,,1,a-po
63,a-pô-a,a-po5-a,a-pô-a,a-po5-a,N,ê,,阿婆,old woman,,,1,a-po-a
64,a-put-tó,a-put-to2,a-put-tó,a-put-to2,N,sian,,不倒翁,roly-poly doll,,,1,a-put-to
65,a-put-tó,a-put-to2,a-put-tó,a-put-to2,N/fig,ê,,打不倒的,"person who ''bounces back'' after failure, less, etc",,,1,a-put-to
66,a-phiàn,a-phian3,a-phiàn,a-phian3,N,ko,,鴉片,opium (scooped from the container),,,1,a-phian
67,a-phiàn,a-phian3,a-phiàn,a-phian3,N,pok,,鴉片,opium pellet (for smoking),,,1,a-phian
68,a-sá-gá-o͘h,a-sa2-ga2-ooh,a-sá-gá-ooh,a-sa2-ga2-ooh,N,châng,,牽牛花,"common morning glory, Ipomoea hardwickii",,,1,a-sa-ga-oh
69,a-sam,a-sam,a-sam,a-sam,N,châng,,台灣杉,"Taiwania, Taiwania cryptomerioides",,,1,a-sam
70,a-se-a,a-se-a,a-se-a,a-se-a,Nmod,,,亞細亞,"Asia, Asian",,,1,a-se-a
71,a-se-a,a-se-a,a-se-a,a-se-a,Np/obs,,,亞細亞,Asia,,A-chiu,1,a-se-a
72,a-só,a-so2,a-só,a-so2,Na,ê,,,sister-in-law (elder brother's wife),,,1,a-so
73,a-soaⁿ/a-soaⁿ-á,a-soann/a-soann-a2,a-suann/a-suann-á,a-suann/a-suann-a2,N,ê,,外省人,mainlander (impolite),,,1,a-soa/a-soa-a
74,a-sú-phí-lín,a-su2-phi2-lin2,a-sú-phí-lín,a-su2-phi2-lin2,N,lia̍p,,阿斯匹靈,"aspirin, acetylsalicylic acid",,,1,a-su-phi-lin
75,a-tat-chí,a-tat-chi2,a-tat-tsí,a-tat-tsi2,N,châng,,砂糖椰子,"sago palm, Arenga pinnata",,,1,a-tat-chi
76,a-tok-á,a-tok-a2,a-tok-á,a-tok-a2,Na,,,洋鬼子,"foreigner (""pointed nose"", a nickname for foreigners in general)",,,1,a-tok-a
77,A-tong,A-tong,A-tong,A-tong,Npers/Bib,,,亞當,Adam,,,1,A-tong
78,á,a2,á,a2,Msf,,,一點,"little, short, few (has the effect of changing M into N or Nsub)",,,1,a
79,á,a2,á,a2,sf,,,子,"(something diminutive, occurring in the following patterns)",,,1,a
80,á,a2,á,a2,sf,,,子,N+a2 (see the respective noun),,,1,a
81,á,a2,á,a2,sf,,,子,chit8+M+a2 (see chit8) nng7+M+a2 (see nng7),,,1,a
82,á,a2,á,a2,sf,,,子,Nu+Nu+M+a2 (chit8-nng7-jit8-a2: about two days; gou7 lak8 jit8-a2: about six days),,,1,a
83,á,a2,á,a2,Nu,,,百,hundred ([ji7-a2-sann]: two hundred thirty; [sann-a2-si3]: three hundred forty),,,1,a
84,á,a2,á,a2,C(Q),,,或/或是,used to link alternative elements in an interrogative sentence) : …or…?,,,1,a
85,á-né-á,a2-ne2-a2,á-né-á,a2-ne2-a2,Na,,,媽媽,mother,,,1,a-ne-a
86,á-sī,a2-si7,á-sī,a2-si7,Cvb/Cn,,,或許,"either, or",,,1,a-si
87,á-tia,a2-tia,á-tia,a2-tia,Na,,,公公,father,,,1,a-tia
88,á,a2,á,a2,I,,,啊,Oh!,,,1,a
89,á,a2,á,a2,BF,,,啦,"(sf used to form a large number of Interjections) (khou-a3: Alas!, Chham2-a3: Alas! etc)",,,1,a
90,Ā-bēng,A7-beng7,Ā-bīng,A7-bing7,Xtn/obs,,,阿們,End-of prayer marker: Amen,,A-men,1,A-beng
91,à-pà,a3-pa3,à-pà,a3-pa3,SV,,á-pà á-pà,蠻不講理,"head-strong, unreasonable",,,1,a-pa
92,à-sèng,a3-seng3,à-sìng,a3-sing3,Title,,,亞聖,"(given to Mencius, second only to Confucius)",,,1,a-seng
93,â,a5,â,a5,I,,,咦,Ah! Aha! (surprise or suspicion),,,1,a
94,â-sâm,a5-sam5,â-sâm,a5-sam5,SV,,,污穢,dirty,,a-cha,1,a-sam
95,â-sâm,a5-sam5,â-sâm,a5-sam5,N,,,污穢,dirt,,,1,a-sam
96,ā,a7,ā,a7,Cvb/Cn,,,也,"also, and",,,1,a
97,ā-ná-beh ā-ná-m̄,a7-na2-beh a7-na2-m7,ā-ná-beh ā-ná-m̄,a7-na2-beh a7-na2-m7,sph,,,半推半就,be half-hearted,,,1,a-na-beh a-na-m̄
98,aⁿ-aⁿ-háu/aⁿ-aⁿ-kiò,ann-ann-hau2/ann-ann-kio3,ann-ann-háu/ann-ann-kiò,ann-ann-hau2/ann-ann-kio3,Vph,,,啞啞叫,cry (like a baby),,,1,a-a-hau/a-a-kio
99,áⁿ,ann2,ánn,ann2,V,,,擁,"shelter with one's body, brood",,,1,a
100,áⁿ,ann2,ánn,ann2,V,,,(收)養,adopt (a child),,,1,a
101,àⁿ,ann3,ànn,ann3,V,,àⁿ-àⁿ,彎腰,"bend down, bow, stoop",,,1,a
102,âⁿ,ann5,ânn,ann5,I,,,咦,Ah! Aha! (surprise or suspicion),,,1,a
103,âⁿ,ann5,ânn,ann5,V,,,保護,"protect (child) from harm, intervene to protect",,,1,a
104,âⁿ,ann5,ânn,ann5,V,,,趕,"herd (ducks, etc), drive (fish into net)",,,1,a
105,âⁿ-cha̍h,ann5-chah8,ânn-tsa̍h,ann5-tsah8,V,,,攔截(住),intervene (on behalf of someone) in a fight or quarrel,,,1,a-chah
106,āⁿ,ann7,ānn,ann7,N,,,餡,"filling (of pie, cake, etc)",,,1,a
107,āⁿ,ann7,ānn,ann7,V,,,遮蓋,"shelter, cover",,,1,a
108,ah,ah,ah,ah,I,,,啊,Oh!,,,1,ah
109,ah,ah,ah,ah,,,,啦,Final particle (indicating action complete),,,1,ah
110,ah,ah,ah,ah,V,,,押,"escort, guard, restrain",,,1,ah
111,ah,ah,ah,ah,V,,,押,mark (the date on a document),,,1,ah
112,ah,ah,ah,ah,V,,,押,agree (in rhyme),,,1,ah
113,ah,ah,ah,ah,N,,,押,collateral,,,1,ah
114,ah,ah,ah,ah,V,,,抑制,"force or compel (sthg to stay in place), curb",,,1,ah
115,ah,ah,ah,ah,V,,,壓,"press, oppress, repress",,,1,ah
116,ah,ah,ah,ah,N,chiah,,鴨,"duck, drake",,,1,ah
117,ah-bah,ah-bah,ah-bah,ah-bah,N,,,鴨肉,duck meat,,,1,ah-bah
118,ah-bó,ah-bo2,ah-bó,ah-bo2,N,chiah,,母鴨,duck (female),,,1,ah-bo
119,ah-bó-le̍h,ah-bo2-leh8,ah-bó-le̍h,ah-bo2-leh8,N/ST,,,斗笠,large rain-hat,,hō͘-le̍h,1,ah-bo-leh
120,ah-bú-tôe/ah-bó-tê,ah-bu2-toe5/ah-bo2-te5,ah-bú-tuê/ah-bó-tê,ah-bu2-tue5/ah-bo2-te5,N,,,平底腳,flat feet,,,1,ah-bu-toe/ah-bo-te
121,ah-bú,ah-bu2,ah-bú,ah-bu2,N,,,母鴨,duck (female),,,1,ah-bu
122,ah-bú-chháu,ah-bu2-chhau2,ah-bú-tsháu,ah-bu2-tshau2,N/Bot,châng,,鴨母草,"a kind of motherwort, Leonurus sibiricus",,,1,ah-bu-chhau
123,ah-bú-chháu,ah-bu2-chhau2,ah-bú-tsháu,ah-bu2-tshau2,N/Bot,châng,,鴨母草,Lindernia ciliata,,,1,ah-bu-chhau
124,ah-bú-chhiū/ah-bú-phàⁿ,ah-bu2-chhiu7/ah-bu2-phann3,ah-bú-tshiū/ah-bú-phànn,ah-bu2-tshiu7/ah-bu2-phann3,N,châng,,江某,"common schefflera, schefflera octophylla",,,1,ah-bu-chhiu/ah-bu-pha
125,ah-chè,ah-che3,ah-tsè,ah-tse3,V,,,抑制,inhibit,,,1,ah-che
126,ah-chi̍h-chháu,ah-chih8-chhau2,ah-tsi̍h-tsháu,ah-tsih8-tshau2,N,châng,,鴨舌草,"""duck's-tongue grass"", Manochoria vaginalis var. plantaginea",,,1,ah-chih-chhau
127,ah-chi̍h-hông,ah-chih8-hong5,ah-tsi̍h-hông,ah-tsih8-hong5,N/Bot,châng,,鴨舌黃,Lindernia ciliata,,,1,ah-chih-hong
128,ah-chi̍h-hông,ah-chih8-hong5,ah-tsi̍h-hông,ah-tsih8-hong5,N/Bot,châng,,鴨舌黃,Borreria hispida,,,1,ah-chih-hong
129,ah-chi̍h-hông,ah-chih8-hong5,ah-tsi̍h-hông,ah-tsih8-hong5,N/Bot,châng,,鴨舌黃,Lippia nodiflora,,,1,ah-chih-hong
130,ah-cho͘,ah-choo,ah-tsoo,ah-tsoo,N,,,押租,rental deposit,,,1,ah-cho
131,ah-chhi̍h,ah-chhih8,ah-tshi̍h,ah-tshih8,V,,,壓,"crush down, press down",,,1,ah-chhih
132,ah-chhùi-hông/ah-chhùi-poe-hông,ah-chhui3-hong5/ah-chhui3-poe-hong5,ah-tshuì-hông/ah-tshuì-pue-hông,ah-tshui3-hong5/ah-tshui3-pue-hong5,N/Bot,châng,,鴨嘴箆黃,Lippia nodiflora,,,1,ah-chhui-hong/ah-chhui-poe-hong
133,ah-chhùi-môa,ah-chhui3-moa5,ah-tshuì-muâ,ah-tshui3-mua5,N/Ich,bé,,鴨嘴鰻,"duckbill eel, any member of the genus Chlopsis",,,1,ah-chhui-moa
134,ah-hó͘,ah-hoo2,ah-hóo,ah-hoo2,N,chiah,,花梨隼,"Siberian peregrine falcon, Falco peregrinus leucogenys",,,2,ah-ho
135,ah-kang,ah-kang,ah-kang,ah-kang,N,chiah,,雄鴨,"drake, male duck",,,2,ah-kang
136,ah-kiān-tîn,ah-kian7-tin5,ah-kiān-tîn,ah-kian7-tin5,N,châng,,台灣鴨腱藤,"soap-bark vine, Entada phaseoloides",,,2,ah-kian-tin
137,ah-kha-hiuⁿ,ah-kha-hiunn,ah-kha-hiunn,ah-kha-hiunn,N,châng,,金雞腳,"""duck-foot"" fern, Crypsinus hastatus",,,2,ah-kha-hiu
138,ah-kha-pê,ah-kha-pe5,ah-kha-pê,ah-kha-pe5,N,châng,,金雞腳,"""duck-foot"" fern, Crypsinus hastatus",,,2,ah-kha-pe
139,ah-kha-sek,ah-kha-sek,ah-kha-sik,ah-kha-sik,N,châng,,鴨跖粟,"finger millet, raggee, Eleusine coracana",,,2,ah-kha-sek
140,ah-kha-sóe,ah-kha-soe2,ah-kha-sué,ah-kha-sue2,N,châng,,鴨跖粟,"finger millet, raggee, Eleusine coracana",,,2,ah-kha-soe
141,ah-kha-sóe,ah-kha-soe2,ah-kha-sué,ah-kha-sue2,N,châng,,鴨跖粟,"millet, Panicuns miliaceum",,,2,ah-kha-soe
142,ah-khoán,ah-khoan2,ah-khuán,ah-khuan2,N,,,押款,"deposit, guarantee-money",,,2,ah-khoan
143,ah-môa-koe,ah-moa5-koe,ah-muâ-kue,ah-mua5-kue,N,châng,,江某,"common schefflera, Schefflera octophylla",,,2,ah-moa-koe
144,ah-nn̄g,ah-nng7,ah-nn̄g,ah-nng7,N,lia̍p,,鴨蛋,duck egg,,,2,ah-nn̄g
145,ah-nn̄g-chhiⁿ,ah-nng7-chhinn,ah-nn̄g-tshinn,ah-nng7-tshinn,N,,,淡青色,pale blue (color),,,2,ah-nn̄g-chhi
146,ah-nn̄g-jîn,ah-nng7-jin5,ah-nn̄g-jîn,ah-nng7-jin5,N,chiah,,黃眉黃鶲,"Narcissus flycatcher, Muscicapa narcissina narcissina",,,2,ah-nn̄g-jin
147,ah-soah,ah-soah,ah-suah,ah-suah,V,,,抑制,restrain,,,2,ah-soah
148,ah-tôe-chháu,ah-toe5-chhau2,ah-tuê-tsháu,ah-tue5-tshau2,N,châng,,金雞腳,"""duck-foot"" fern, Crypsinus hastatus",,,2,ah-toe-chhau
149,ah-tôe-sóe,ah-toe5-soe2,ah-tuê-sué,ah-tue5-sue2,N/Bot,châng,,鴨拓粟,"finger millet, raggee, Eleusine coracana",,,2,ah-toe-soe
150,ah-thô-chu,ah-tho5-chu,ah-thô-tsu,ah-tho5-tsu,N,châng,,鴨土珠,Phyllanthus niruri,,,2,ah-tho-chu
151,ah-ūn,ah-un7,ah-ūn,ah-un7,VO,,,押韻,"agree in rhyme, rhyme well",,,2,ah-un
152,a̍h,ah8,a̍h,ah8,M/N,,,盒,"small box, case",,,2,ah
153,a̍h,ah8,a̍h,ah8,V,,,趕,"force to turn (as a flock of ducks, etc)",,,2,ah
154,ai,ai,ai,ai,I,,,唉呀,"Alas! Oh! (grief, pain, distress)",,,2,ai
155,ai,ai,ai,ai,V,,,唉呀,"scream, wail",,,2,ai
156,ai-ai-háu/ai-ai-kiò,ai-ai-hau2/ai-ai-kio3,ai-ai-háu/ai-ai-kiò,ai-ai-hau2/ai-ai-kio3,Vph,,,唉呀,"cry, wail",,,2,ai-ai-hau/ai-ai-kio
157,ai-chhám,ai-chham2,ai-tshám,ai-tsham2,SV,,,哀傷,"deeply distressed, grieved",,,2,ai-chham
158,ai-chhan,ai-chhan,ai-tshan,ai-tshan,V,,,呻吟,groan,,,2,ai-chhan
159,ai-háu,ai-hau2,ai-háu,ai-hau2,V,,,哀叫,cry,,,2,ai-hau
160,ai-ioh,ai-ioh,ai-ioh,ai-ioh,I,,,唉,"Ouch! Hey! (pain, surprise)",,,2,ai-ioh
161,ai-keng,ai-keng,ai-king,ai-king,N/RC,,,善行,"works of mercy, charitable actions",,,2,ai-keng
162,ai-kiò,ai-kio3,ai-kiò,ai-kio3,V,,,悲傷,cry (in distress),,,2,ai-kio
163,Ai-ki̍p,Ai-kip8,Ai-ki̍p,Ai-kip8,Np,,,埃及,Egypt,,,2,Ai-kip
164,ai-ki̍p-chhoe-mî-kài-khak-thâng,ai-kip8-chhoe-mi5-kai3-khak-thang5,ai-ki̍p-tshue-mî-kài-khak-thâng,ai-kip8-tshue-mi5-kai3-khak-thang5,N/Ent,chiah,,埃及吹棉介殼虫,"Egyptian cotton scale, Icerya aegyptiaca",,,2,ai-kip-chhoe-mi-kai-khak-thang
165,ai-kiû,ai-kiu5,ai-kiû,ai-kiu5,V,,,哀求,"beseech, implore",,,2,ai-kiu
166,ai-kiû,ai-kiu5,ai-kiû,ai-kiu5,N,,,哀求,"supplication, entreaty",,,2,ai-kiu
167,Ai-ní-lân,Ai-ni2-lan5,Ai-ní-lân,Ai-ni2-lan5,Np,,,愛爾蘭,Ireland,,,2,Ai-ni-lan
168,ai-oàn,ai-oan3,ai-uàn,ai-uan3,V,,,哀怨,repine bitterly,,,2,ai-oan
169,ai-oàn,ai-oan3,ai-uàn,ai-uan3,N,,,哀怨,"repining, dejection",,,2,ai-oan
170,ai-oh,ai-oh,ai-oh,ai-oh,I,,,噯唷,Ah! Alas! (regret),,,2,ai-oh
171,ai-siā,ai-sia7,ai-siā,ai-sia7,N/V,,,(哀)謝,(a means used to) express thanks to visitors attending a funeral,,,2,ai-sia
172,ai-siong,ai-siong,ai-siong,ai-siong,SV,,,哀傷,"sorrowful, mournful",,,2,ai-siong
173,ai-sû,ai-su5,ai-sû,ai-su5,N,,,輓聯,"elegy, eulogy",,tiàu-sû,2,ai-su
174,Ai-tiân,Ai-tian5,Ai-tiân,Ai-tian5,Np/Bib,,,伊甸園,Eden,,,2,Ai-tian
175,ai-tiⁿ,ai-tinn,ai-tinn,ai-tinn,SV,,,微甜,somewhat sweet,,,2,ai-ti
176,ái-ah,ai2-ah,ái-ah,ai2-ah,I,,,噯呀,Ouch! Ow! (pain),,,2,ai-ah
177,ái-bī,ai2-bi7,ái-bī,ai2-bi7,N,,,發臭的味,moldy flavor,,,2,ai-bi
178,ái-sîm,ai2-sim5,ái-sîm,ai2-sim5,N/Bot,lúi,,埃蕈,"an edible puffball, Lycoperdon gemmatum",,,2,ai-sim
179,ài,ai3,ài,ai3,V,,,愛,"love (person), like (thing)",,,2,ai
180,ài,ai3,ài,ai3,AV,,,要,"want to, would like to",,,2,ai
181,ài,ai3,ài,ai3,AV,,,要,"feel like, need to",,,2,ai
182,ài,ai3,ài,ai3,AV,,,會,"might (catch cold, have a stomach ache, cry, etc)",,,2,ai
183,ài-â,ai3-a5,ài-â,ai3-a5,I,,,噯呀,Ah! Oh! (wonder),,,2,ai-a
184,ài-a̍h,ai3-ah8,ài-a̍h,ai3-ah8,I,,,唉啊,"Oh! Ouch! Damn! (surprise, pain, sudden anger)",,,2,ai-ah
185,ài-beh,ai3-beh,ài-beh,ai3-beh,AVph,,,要,"want to, wish to",,,2,ai-beh
186,ài-bō͘,ai3-boo7,ài-bōo,ai3-boo7,V,,,愛慕,"desire, long for, love (a person)",,,2,ai-bo
187,ài-bō͘,ai3-boo7,ài-bōo,ai3-boo7,V,,,愛慕,"admire, adore",,,2,ai-bo
188,ài-chêng,ai3-cheng5,ài-tsîng,ai3-tsing5,N,,,愛情,"affection, love",,,2,ai-cheng
189,ài-chú,ai3-chu2,ài-tsú,ai3-tsu2,N,,,愛子,beloved child,,,2,ai-chu
190,ài-chhan,ai3-chhan,ài-tshan,ai3-tshan,N/Xtn,,,愛餐,"agape, ""love-feast""",,ài-iàn,2,ai-chhan
191,ài-hō͘,ai3-hoo7,ài-hōo,ai3-hoo7,V,,,愛護,"protect lovingly, take care of",,,2,ai-ho
192,ài-hō͘,ai3-hoo7,ài-hōo,ai3-hoo7,N,,,愛護,"kindly treatment, tender care",,,2,ai-ho
193,ài-hòⁿ,ai3-honn3,ài-hònn,ai3-honn3,V,,,愛好,"like, be fond of",,,2,ai-ho
194,ài-hòⁿ,ai3-honn3,ài-hònn,ai3-honn3,N,,,愛好,"fondness, liking",,,2,ai-ho
195,ài-iàn,ai3-ian3,ài-iàn,ai3-ian3,N/Xtn (Little Flock),,,愛宴,"agape, ""love-feast""",,,2,ai-ian
196,ài-io̍k,ai3-iok8,ài-io̍k,ai3-iok8,N,,,慾望,"passion, physical desire",,,2,ai-iok
197,ài-jîn,ai3-jin5,ài-jîn,ai3-jin5,N,,,愛人,sweetheart,,,2,ai-jin
198,ài-kò͘,ai3-koo3,ài-kòo,ai3-koo3,V,,,照顧,treat kindly and considerately,,,2,ai-ko
199,ài-kò͘,ai3-koo3,ài-kòo,ai3-koo3,N,,,照顧,kind assistance,,,2,ai-ko
200,ài-kok,ai3-kok,ài-kok,ai3-kok,SV,,,愛國,patriotic,,,2,ai-kok
201,ài-kháu,ai3-khau2,ài-kháu,ai3-khau2,N,,,隘口,"defile, entrance, narrow pass",,,2,ai-khau
202,ài-khùn,ai3-khun3,ài-khùn,ai3-khun3,SV,,,睏倦,sleepy,,,2,ai-khun
203,ài-māi,ai3-mai7,ài-māi,ai3-mai7,SV,,,曖昧,"ambiguous, obscure, vague",,,2,ai-mai
204,ài-māi,ai3-mai7,ài-māi,ai3-mai7,N,,,曖昧,"ambiguity, obscurity, vagueness",,,2,ai-mai
205,ài-sim,ai3-sim,ài-sim,ai3-sim,N,,,愛心,"loving heart, friendly attitude",,,2,ai-sim
206,ài-sioh,ai3-sioh,ài-sioh,ai3-sioh,V,,,愛惜,"love, take good care of (time, objects)",,,2,ai-sioh
