id,poj_unicode,poj_input,kip_unicode,kip_input,abbreviations,noun_classifiers,reduplication,hoabun,english,synonym,cf,page_number,poj_normalized
14352,jiok,jiok,jiok,jiok,V,,,追,"chase, pursue (syn jip)",,,118,jiok
14353,jio̍k,jiok8,jio̍k,jiok8,V,,,揉,"work up and mold (in the hands, as clay), crumple (in the hand, as paper)",,,118,jiok
14354,jio̍k,jiok8,jio̍k,jiok8,SV,,,弱,"feeble, weak",,,118,jiok
14355,jio̍k-á,jiok8-a2,jio̍k-á,jiok8-a2,N,bé,,日本紫魚,"Japanese anchovy, long-jawed herring, Engraulis japonicus",,,118,jiok-a
14356,jio̍k-á,jiok8-a2,jio̍k-á,jiok8-a2,N,,,褥仔,"mat, mattress, cushion",,,118,jiok-a
14357,Jiok-bōng,Jiok-bong7,Jiok-bōng,Jiok-bong7,Npers/Bib/RC,,,若望福音,John (cf Iok-han7),,,118,Jiok-bong
14358,jio̍k-chiá,jiok8-chia2,jio̍k-tsiá,jiok8-tsia2,N,ê,,弱者,weaker person (cf two),,,118,jiok-chia
14359,jio̍k-chhùi-pi,jiok8-chhui3-pi,jio̍k-tshuì-pi,jiok8-tshui3-pi,N,chiah,,白環鸚嘴鴨,"Chinese finch-billed bulbul, Spisixos semitorgues cinereicapillus",,,118,jiok-chhui-pi
14360,jio̍k-io̍k,jiok8-iok8,jio̍k-io̍k,jiok8-iok8,N,,,獸慾,"animal passion, carnal desire",,,118,jiok-iok
14361,jio̍k-kan,jiok8-kan,jio̍k-kan,jiok8-kan,Nu,,,若干,"some, a little, a few",,,118,jiok-kan
14362,jio̍k-koan,jiok8-koan,jio̍k-kuan,jiok8-kuan,N,,,弱冠,young man who has reached physical maturity but is not yet experienced and wise (about 20 years of age),,,118,jiok-koan
14363,jio̍k-kùi,jiok8-kui3,jio̍k-kuì,jiok8-kui3,N,châng,,肉桂,"Japanese cinnamon, Taiwan cinnamon, Cimamomum japonicun",,,118,jiok-kui
14364,jio̍k-kùi,jiok8-kui3,jio̍k-kuì,jiok8-kui3,N,châng,,肉桂,"odor-bask cinnamon, Cinnamomum osmopholium",,,118,jiok-kui
14365,Jio̍k-sek,Jiok8-sek,Jio̍k-sik,Jiok8-sik,Npers/Bib/RC,,,若瑟,Joseph (cf Iok-sek),,,118,Jiok-sek
14366,jio̍k-siáu,jiok8-siau2,jio̍k-siáu,jiok8-siau2,SV,,,弱小,"small and weak, minor (power or nation)",,,118,jiok-siau
14367,jio̍k-sin,jiok8-sin,jio̍k-sin,jiok8-sin,N,,,肉體,"human body, mortal body ( in contrast to sin5, which is immortal, cf jiok8-the2)",,,118,jiok-sin
14368,Jio̍k-so͘-ek,Jiok8-soo-ek,Jio̍k-soo-ik,Jiok8-soo-ik,Npers/Bib/RC,,,若蘇厄書,Josue (cf Iok-su-a),,,118,Jiok-so-ek
14369,jio̍k-tiám,jiok8-tiam2,jio̍k-tiám,jiok8-tiam2,N,,,弱點,"weak point, weakness, shortcoming",,,118,jiok-tiam
14370,jio̍k-tō͘-khò͘,jiok8-too7-khoo3,jio̍k-tōo-khòo,jiok8-too7-khoo3,N,châng,,肉豆蔻,"nutmeg, mace, Myristica fragrans",,,118,jiok-to-kho
14371,jio̍k-thè,jiok8-the3,jio̍k-thè,jiok8-the3,N,,,肉體,"human body (as contrasted with the mind, cf jiok8-sin)",,,118,jiok-the
14372,jio̍k-thè,jiok8-the3,jio̍k-thè,jiok8-the3,N/Bib,,,肉體,flesh (as contrasted with spirit),,,118,jiok-the
14373,jióng,jiong2,jióng,jiong2,V,,,嚷,"bawl, shout (in anger)",,,118,jiong
14374,jiông,jiong5,jiông,jiong5,SV,,jiông-jiông/jiông-jiông-jiông,絨,velvety,,,118,jiong
14375,jiông,jiong5,jiông,jiong5,N,,,絨,velvety,,,118,jiong
14376,jiông-hio̍h-á,jiong5-hioh8-a2,jiông-hio̍h-á,jiong5-hioh8-a2,N/Ich,bé,,嚷葉仔,"guava-leafed sole, Synaptura orientalis",,,118,jiong-hioh-a
14377,jiông-iû,jiong5-iu5,jiông-iû,jiong5-iu5,N/Ich,bé,,絨魚由,any of several generaof fish of the family Congiopodidae,,,118,jiong-iu
14378,jiông-mô͘,jiong5-moo5,jiông-môo,jiong5-moo5,N/Anat,,,絨毛,villi,,,118,jiong-mo
14379,jiông-pō͘,jiong5-poo7,jiông-pōo,jiong5-poo7,N,,,絨布,velve cloth,,,118,jiong-po
14380,jiōng-pō͘,jiong7-poo7,jiōng-pōo,jiong7-poo7,VO,,,讓步,"give way, make mutual concessions",,,118,jiong-po
14381,jiōng-tō͘,jiong7-too7,jiōng-tōo,jiong7-too7,V,,,讓與,"assign, cede, convey, tranfer",,,118,jiong-to
14382,jiōng-tō͘,jiong7-too7,jiōng-tōo,jiong7-too7,N,,,讓與,"assignment, cession, conveyance, transfer",,,118,jiong-to
